Degree,Major,Skill1,Skill2,Certification,ExperienceYears,ProjectCount,Internship,ExperienceLevel,JobRole
M.Tech,AI,C++,Data Analysis,AWS,3,0,No,Mid,Data Analyst
MCA,Data Science,Python,C++,Data Analytics,0,8,Yes,Fresher,Data Scientist
M.Tech,Electronics,Deep Learning,Cloud,Azure,5,7,Yes,Mid,ML Engineer
BCA,IT,Machine Learning,C++,AI Specialist,12,9,Yes,Expert,ML Engineer
BCA,Computer Science,Data Analysis,Data Analysis,Azure,14,5,No,Expert,Data Analyst
BCA,Data Science,Data Analysis,Python,Data Analytics,13,4,Yes,Expert,Data Scientist
BCA,IT,SQL,Python,AI Specialist,2,7,Yes,Junior,Data Analyst
MBA,Business,SQL,Deep Learning,AI Specialist,10,7,Yes,Senior,ML Engineer
MCA,AI,C++,Deep Learning,AWS,4,4,Yes,Mid,ML Engineer
MCA,Business,Java,Java,AWS,3,6,No,Mid,Business Analyst
M.Tech,AI,Cloud,Python,AWS,14,0,No,Expert,Data Scientist
B.Tech,Data Science,Java,SQL,Cybersecurity,12,3,Yes,Expert,Data Analyst
M.Tech,Business,Deep Learning,Deep Learning,GCP,1,1,Yes,Junior,ML Engineer
M.Tech,AI,Machine Learning,SQL,None,11,9,Yes,Expert,ML Engineer
M.Tech,Electronics,Data Analysis,Deep Learning,AWS,14,2,Yes,Expert,ML Engineer
M.Tech,Data Science,Java,Data Analysis,GCP,6,0,Yes,Senior,Data Analyst
MCA,AI,Data Analysis,SQL,GCP,13,1,Yes,Expert,Data Analyst
B.Tech,Computer Science,SQL,Machine Learning,Azure,4,0,Yes,Mid,ML Engineer
M.Tech,AI,Data Analysis,SQL,Data Analytics,14,7,No,Expert,Data Analyst
MCA,Business,Cloud,Cloud,Cybersecurity,13,3,Yes,Expert,Security Analyst
M.Tech,Electronics,Data Analysis,Python,GCP,6,2,No,Senior,Data Analyst
BCA,IT,Java,Deep Learning,None,8,0,No,Senior,ML Engineer
M.Tech,IT,Cloud,Python,Cybersecurity,3,1,No,Mid,Security Analyst
M.Tech,AI,Data Analysis,Cloud,Azure,4,2,Yes,Mid,Data Analyst
MBA,IT,Machine Learning,Cloud,AWS,8,2,No,Senior,ML Engineer
BCA,AI,SQL,SQL,AI Specialist,12,5,No,Expert,Data Analyst
B.Tech,Electronics,Data Analysis,C++,GCP,9,9,Yes,Senior,Data Analyst
M.Tech,IT,Cloud,C++,Data Analytics,10,7,Yes,Senior,Data Analyst
B.Tech,Business,Java,Cloud,AI Specialist,13,5,Yes,Expert,Business Analyst
BCA,Business,SQL,C++,Azure,12,1,No,Expert,Data Analyst
M.Tech,Computer Science,C++,Deep Learning,Cybersecurity,3,1,No,Mid,ML Engineer
MBA,AI,C++,Java,None,4,6,No,Mid,Software Developer
MCA,IT,Deep Learning,Machine Learning,AWS,12,0,No,Expert,ML Engineer
MBA,Business,C++,SQL,Cybersecurity,4,0,Yes,Mid,Data Analyst
MBA,Electronics,Java,Java,Data Analytics,7,6,Yes,Senior,Security Analyst
MCA,Electronics,Machine Learning,C++,GCP,14,8,Yes,Expert,ML Engineer
MCA,Computer Science,SQL,SQL,Data Analytics,12,4,Yes,Expert,Data Analyst
MCA,Electronics,Cloud,Java,Cybersecurity,14,0,Yes,Expert,Security Analyst
M.Tech,Electronics,Python,Python,Cybersecurity,3,4,No,Mid,Security Analyst
B.Tech,IT,C++,C++,AI Specialist,3,0,No,Mid,Software Developer
B.Tech,AI,C++,Data Analysis,Data Analytics,12,9,Yes,Expert,Data Analyst
MCA,Data Science,Python,Java,Data Analytics,6,8,Yes,Senior,Data Scientist
MBA,Electronics,Cloud,Data Analysis,Data Analytics,10,3,Yes,Senior,Data Analyst
BCA,Electronics,Cloud,Deep Learning,AWS,4,8,Yes,Mid,ML Engineer
MCA,Data Science,Python,Python,None,5,1,Yes,Mid,Data Scientist
MBA,Electronics,Cloud,C++,Cybersecurity,5,6,Yes,Mid,Security Analyst
MBA,IT,Java,Machine Learning,Azure,11,1,No,Expert,ML Engineer
M.Tech,IT,Cloud,Cloud,AWS,5,3,No,Mid,Cloud Engineer
M.Tech,Data Science,SQL,C++,AWS,13,5,No,Expert,Data Analyst
B.Tech,Business,Cloud,Data Analysis,AWS,9,1,Yes,Senior,Data Analyst
B.Tech,Electronics,Data Analysis,Deep Learning,AI Specialist,4,1,Yes,Mid,ML Engineer
BCA,Business,Data Analysis,Machine Learning,None,12,1,Yes,Expert,ML Engineer
BCA,Electronics,C++,Machine Learning,None,12,2,No,Expert,ML Engineer
BCA,AI,Machine Learning,Machine Learning,Azure,4,4,No,Mid,ML Engineer
BCA,Electronics,Java,SQL,Data Analytics,8,8,Yes,Senior,Data Analyst
MBA,IT,Java,SQL,AI Specialist,12,5,No,Expert,Software Developer
MBA,Computer Science,Cloud,Data Analysis,Cybersecurity,7,8,Yes,Senior,Data Analyst
B.Tech,Computer Science,Machine Learning,Cloud,GCP,14,9,Yes,Expert,ML Engineer
M.Tech,Computer Science,Machine Learning,Machine Learning,AI Specialist,3,4,No,Mid,ML Engineer
M.Tech,Computer Science,Deep Learning,Cloud,GCP,6,5,No,Senior,ML Engineer
MCA,Business,Machine Learning,Python,Cybersecurity,7,9,Yes,Senior,ML Engineer
MBA,Business,Cloud,Machine Learning,Azure,11,7,Yes,Expert,ML Engineer
BCA,Electronics,Cloud,Java,None,8,2,Yes,Senior,Security Analyst
BCA,Business,Python,Machine Learning,GCP,4,1,Yes,Mid,ML Engineer
MCA,Electronics,C++,Data Analysis,AWS,2,2,No,Junior,Data Analyst
M.Tech,AI,Data Analysis,SQL,AI Specialist,14,8,Yes,Expert,Data Analyst
BCA,Electronics,Deep Learning,SQL,GCP,12,5,Yes,Expert,ML Engineer
M.Tech,Computer Science,Cloud,Java,Cybersecurity,3,9,Yes,Mid,Software Developer
MCA,Data Science,Python,Java,None,14,3,No,Expert,Data Scientist
M.Tech,Data Science,Deep Learning,C++,AWS,9,9,No,Senior,ML Engineer
M.Tech,IT,C++,Python,GCP,5,2,No,Mid,Data Analyst
M.Tech,IT,Deep Learning,Python,None,9,1,Yes,Senior,ML Engineer
BCA,Electronics,Python,Data Analysis,Cybersecurity,10,3,No,Senior,Data Analyst
B.Tech,Data Science,SQL,Data Analysis,Azure,4,8,Yes,Mid,Data Analyst
MBA,Computer Science,Data Analysis,Data Analysis,Cybersecurity,8,3,Yes,Senior,Data Analyst
M.Tech,Business,Cloud,Data Analysis,Azure,12,4,No,Expert,Data Analyst
M.Tech,Computer Science,Data Analysis,Data Analysis,None,10,7,Yes,Senior,Data Analyst
M.Tech,Computer Science,C++,Data Analysis,None,10,1,Yes,Senior,Data Analyst
B.Tech,Electronics,Java,Python,AWS,13,2,Yes,Expert,Security Analyst
MCA,Electronics,C++,Deep Learning,Cybersecurity,2,5,Yes,Junior,ML Engineer
BCA,AI,C++,SQL,Data Analytics,1,6,Yes,Junior,Data Analyst
B.Tech,Computer Science,C++,Python,AI Specialist,5,3,No,Mid,Software Developer
M.Tech,Computer Science,SQL,Data Analysis,Data Analytics,12,0,Yes,Expert,Data Analyst
B.Tech,Electronics,Cloud,C++,Data Analytics,6,6,Yes,Senior,Security Analyst
B.Tech,Electronics,Python,C++,Data Analytics,4,8,No,Mid,Security Analyst
B.Tech,AI,Cloud,Python,AI Specialist,0,0,No,Fresher,Data Scientist
MCA,AI,Java,Java,Data Analytics,2,0,Yes,Junior,Data Analyst
MBA,IT,Python,C++,Azure,2,0,Yes,Junior,Data Analyst
BCA,Data Science,Deep Learning,Cloud,Cybersecurity,11,9,Yes,Expert,ML Engineer
MCA,Computer Science,Deep Learning,Java,None,13,6,Yes,Expert,ML Engineer
MCA,Computer Science,Deep Learning,Cloud,AWS,3,8,Yes,Mid,ML Engineer
MBA,AI,Python,SQL,Data Analytics,13,2,Yes,Expert,Data Scientist
MCA,AI,Machine Learning,Deep Learning,None,9,7,Yes,Senior,ML Engineer
B.Tech,IT,SQL,C++,Data Analytics,5,8,Yes,Mid,Data Analyst
B.Tech,Data Science,Machine Learning,Java,AWS,4,2,Yes,Mid,ML Engineer
M.Tech,IT,Cloud,Data Analysis,AWS,0,2,Yes,Fresher,Data Analyst
MCA,Data Science,Deep Learning,Cloud,Data Analytics,14,0,Yes,Expert,ML Engineer
M.Tech,Business,SQL,Python,Azure,5,1,Yes,Mid,Data Analyst
BCA,Computer Science,Python,Cloud,None,13,6,Yes,Expert,AI Engineer
B.Tech,IT,Deep Learning,Cloud,AWS,13,2,Yes,Expert,ML Engineer
BCA,AI,Python,SQL,Cybersecurity,8,6,Yes,Senior,Data Scientist
MBA,IT,SQL,Machine Learning,None,10,4,No,Senior,ML Engineer
B.Tech,Business,Python,Machine Learning,Cybersecurity,0,9,Yes,Fresher,ML Engineer
BCA,IT,Python,Python,None,7,7,Yes,Senior,AI Engineer
MBA,Computer Science,Java,SQL,Azure,7,4,Yes,Senior,Software Developer
BCA,Business,Cloud,SQL,AI Specialist,2,2,Yes,Junior,Data Analyst
MBA,AI,Machine Learning,Data Analysis,GCP,14,8,No,Expert,ML Engineer
MBA,AI,Data Analysis,SQL,Azure,12,6,Yes,Expert,Data Analyst
B.Tech,Electronics,Machine Learning,SQL,Data Analytics,8,4,Yes,Senior,ML Engineer
M.Tech,Business,Machine Learning,Machine Learning,GCP,10,6,Yes,Senior,ML Engineer
MBA,Electronics,C++,Java,Data Analytics,12,9,No,Expert,Security Analyst
MBA,Electronics,Java,SQL,Cybersecurity,12,8,No,Expert,Data Analyst
B.Tech,Computer Science,Data Analysis,Java,AWS,10,4,Yes,Senior,Software Developer
M.Tech,IT,Deep Learning,Cloud,None,7,6,Yes,Senior,ML Engineer
MCA,AI,Deep Learning,Cloud,Data Analytics,2,8,No,Junior,ML Engineer
MCA,AI,Deep Learning,SQL,Cybersecurity,9,0,No,Senior,ML Engineer
M.Tech,IT,Machine Learning,C++,Azure,4,3,Yes,Mid,ML Engineer
BCA,AI,Cloud,Deep Learning,Data Analytics,2,0,Yes,Junior,ML Engineer
B.Tech,IT,Machine Learning,C++,Cybersecurity,4,7,Yes,Mid,ML Engineer
M.Tech,Business,Data Analysis,Cloud,AWS,8,2,Yes,Senior,Data Analyst
MCA,Computer Science,Cloud,Deep Learning,None,14,1,Yes,Expert,ML Engineer
MBA,Computer Science,Java,C++,Data Analytics,11,3,Yes,Expert,Software Developer
MCA,Computer Science,Cloud,SQL,AI Specialist,3,2,No,Mid,Data Analyst
MBA,IT,Data Analysis,Java,Cybersecurity,5,4,Yes,Mid,Software Developer
B.Tech,IT,Python,Deep Learning,Data Analytics,2,7,No,Junior,ML Engineer
MBA,Data Science,Machine Learning,Machine Learning,AWS,2,9,Yes,Junior,ML Engineer
M.Tech,AI,Deep Learning,Python,None,4,7,No,Mid,Data Scientist
MBA,AI,Python,Deep Learning,Data Analytics,7,6,Yes,Senior,Data Scientist
BCA,Data Science,Machine Learning,Deep Learning,Data Analytics,13,7,Yes,Expert,ML Engineer
M.Tech,Data Science,SQL,Machine Learning,None,7,4,Yes,Senior,ML Engineer
B.Tech,Computer Science,C++,SQL,AI Specialist,2,9,Yes,Junior,Data Analyst
M.Tech,Data Science,Machine Learning,C++,Cybersecurity,7,9,No,Senior,ML Engineer
BCA,IT,SQL,C++,GCP,12,5,Yes,Expert,Data Analyst
B.Tech,Electronics,Data Analysis,Cloud,None,10,7,Yes,Senior,Data Analyst
MCA,IT,Java,Java,Data Analytics,12,0,Yes,Expert,Software Developer
BCA,Data Science,SQL,SQL,GCP,7,5,No,Senior,Data Analyst
B.Tech,AI,Java,Machine Learning,Azure,2,5,Yes,Junior,ML Engineer
MBA,IT,Machine Learning,SQL,Data Analytics,9,4,Yes,Senior,ML Engineer
M.Tech,AI,Java,SQL,GCP,14,3,Yes,Expert,Data Analyst
B.Tech,IT,SQL,C++,Azure,12,0,Yes,Expert,Data Analyst
M.Tech,AI,Cloud,Machine Learning,AI Specialist,14,9,No,Expert,ML Engineer
MBA,Business,C++,Data Analysis,Cybersecurity,9,7,Yes,Senior,Data Analyst
B.Tech,IT,Python,Python,Data Analytics,1,5,Yes,Junior,Software Developer
MCA,AI,Python,Deep Learning,Cybersecurity,9,2,Yes,Senior,Data Scientist
BCA,Electronics,C++,C++,Azure,1,2,Yes,Junior,Security Analyst
B.Tech,Computer Science,Deep Learning,Machine Learning,Cybersecurity,8,5,Yes,Senior,ML Engineer
MBA,IT,Python,Java,Cybersecurity,6,6,Yes,Senior,Software Developer
B.Tech,Electronics,Data Analysis,Deep Learning,None,5,7,Yes,Mid,ML Engineer
M.Tech,Computer Science,Machine Learning,Deep Learning,AWS,6,4,Yes,Senior,ML Engineer
B.Tech,IT,Deep Learning,Data Analysis,Azure,7,9,Yes,Senior,ML Engineer
MCA,Electronics,Machine Learning,Data Analysis,Cybersecurity,11,5,Yes,Expert,ML Engineer
B.Tech,Electronics,SQL,C++,GCP,0,0,Yes,Fresher,Data Analyst
BCA,Business,Data Analysis,Cloud,Azure,7,5,No,Senior,Data Analyst
B.Tech,Electronics,SQL,Java,AWS,2,8,No,Junior,Data Analyst
M.Tech,Business,Deep Learning,C++,Data Analytics,2,9,Yes,Junior,ML Engineer
B.Tech,Data Science,Deep Learning,SQL,AI Specialist,5,3,Yes,Mid,ML Engineer
MCA,AI,Data Analysis,Cloud,Cybersecurity,3,9,Yes,Mid,Data Analyst
MBA,Computer Science,Data Analysis,Machine Learning,GCP,3,0,No,Mid,ML Engineer
B.Tech,AI,Deep Learning,Data Analysis,AWS,3,8,No,Mid,ML Engineer
B.Tech,AI,Deep Learning,Java,Azure,9,3,Yes,Senior,ML Engineer
BCA,Business,Java,Deep Learning,AI Specialist,8,1,Yes,Senior,ML Engineer
MCA,AI,Cloud,C++,AI Specialist,7,0,Yes,Senior,AI Engineer
MBA,Electronics,Deep Learning,Data Analysis,Cybersecurity,2,2,Yes,Junior,ML Engineer
M.Tech,Business,Data Analysis,Deep Learning,AWS,0,6,No,Fresher,ML Engineer
B.Tech,AI,Cloud,Java,AWS,0,9,Yes,Fresher,Cloud Engineer
MBA,Business,Deep Learning,Data Analysis,GCP,0,1,No,Fresher,ML Engineer
M.Tech,Data Science,SQL,Data Analysis,Data Analytics,3,8,Yes,Mid,Data Analyst
MCA,Business,Machine Learning,Deep Learning,Data Analytics,13,1,Yes,Expert,ML Engineer
MCA,IT,Cloud,C++,None,5,4,Yes,Mid,AI Engineer
MBA,Electronics,SQL,Cloud,Data Analytics,3,7,Yes,Mid,Data Analyst
M.Tech,Computer Science,Python,C++,None,10,9,No,Senior,AI Engineer
MCA,IT,Data Analysis,Python,AI Specialist,10,7,Yes,Senior,Data Analyst
MBA,IT,Java,Data Analysis,AI Specialist,2,2,Yes,Junior,Software Developer
MCA,IT,Java,Deep Learning,Azure,7,1,Yes,Senior,ML Engineer
MCA,AI,Machine Learning,Python,AI Specialist,13,8,Yes,Expert,Data Scientist
MCA,Business,Deep Learning,Cloud,AI Specialist,7,2,Yes,Senior,ML Engineer
BCA,Business,SQL,Python,AWS,5,7,No,Mid,Data Analyst
M.Tech,AI,Python,Deep Learning,Azure,8,1,Yes,Senior,Data Scientist
MBA,Electronics,SQL,Java,AWS,11,2,Yes,Expert,Data Analyst
MBA,AI,Data Analysis,SQL,GCP,9,0,No,Senior,Data Analyst
M.Tech,AI,Data Analysis,Cloud,None,0,5,Yes,Fresher,Data Analyst
M.Tech,AI,Deep Learning,C++,None,12,6,Yes,Expert,ML Engineer
M.Tech,Electronics,Deep Learning,Machine Learning,GCP,7,3,Yes,Senior,ML Engineer
M.Tech,Electronics,Data Analysis,Cloud,None,5,0,Yes,Mid,Data Analyst
B.Tech,Data Science,C++,Python,Azure,0,2,No,Fresher,Data Scientist
MBA,Data Science,Data Analysis,Java,Azure,3,8,Yes,Mid,Data Analyst
B.Tech,Data Science,SQL,Deep Learning,AI Specialist,4,4,Yes,Mid,ML Engineer
MCA,Data Science,Machine Learning,Java,None,6,5,Yes,Senior,ML Engineer
MCA,Business,SQL,Java,GCP,7,3,Yes,Senior,Data Analyst
MBA,IT,Java,Deep Learning,Cybersecurity,8,0,Yes,Senior,ML Engineer
MCA,IT,Python,Machine Learning,Data Analytics,11,4,Yes,Expert,ML Engineer
M.Tech,Data Science,Cloud,Deep Learning,AI Specialist,11,4,No,Expert,ML Engineer
B.Tech,Data Science,Machine Learning,Machine Learning,Data Analytics,5,4,Yes,Mid,ML Engineer
M.Tech,Computer Science,C++,Deep Learning,GCP,9,5,Yes,Senior,ML Engineer
MCA,IT,Python,Python,None,8,1,Yes,Senior,Data Analyst
B.Tech,Computer Science,Python,Machine Learning,None,3,0,Yes,Mid,ML Engineer
M.Tech,Computer Science,Cloud,Python,Data Analytics,7,1,Yes,Senior,AI Engineer
MBA,AI,Java,Cloud,Cybersecurity,2,9,Yes,Junior,Security Analyst
M.Tech,Business,Java,Machine Learning,None,3,5,Yes,Mid,ML Engineer
MCA,Electronics,Java,Machine Learning,Cybersecurity,9,4,Yes,Senior,ML Engineer
B.Tech,IT,Machine Learning,Deep Learning,AWS,3,4,Yes,Mid,ML Engineer
MBA,Data Science,SQL,Machine Learning,Azure,5,5,Yes,Mid,ML Engineer
B.Tech,Data Science,Python,Python,Data Analytics,14,9,Yes,Expert,Data Scientist
MBA,Electronics,SQL,Data Analysis,None,8,6,No,Senior,Data Analyst
B.Tech,IT,SQL,Cloud,Cybersecurity,5,8,Yes,Mid,Data Analyst
MCA,Data Science,Java,Data Analysis,None,0,6,No,Fresher,Data Analyst
MBA,Data Science,SQL,Deep Learning,Azure,4,1,Yes,Mid,ML Engineer
BCA,AI,Python,C++,Azure,8,5,No,Senior,Data Scientist
B.Tech,Computer Science,Python,Cloud,AWS,4,8,Yes,Mid,Cloud Engineer
B.Tech,Data Science,Deep Learning,Data Analysis,Azure,5,6,Yes,Mid,ML Engineer
M.Tech,Business,C++,Cloud,Azure,2,1,No,Junior,Cloud Engineer
MBA,IT,Machine Learning,Data Analysis,AI Specialist,7,2,Yes,Senior,ML Engineer
BCA,Business,SQL,Python,GCP,9,7,Yes,Senior,Data Analyst
MCA,Electronics,Machine Learning,Data Analysis,None,10,8,No,Senior,ML Engineer
M.Tech,AI,Machine Learning,Cloud,AWS,12,3,Yes,Expert,ML Engineer
BCA,IT,Machine Learning,C++,AWS,3,8,Yes,Mid,ML Engineer
MBA,AI,Cloud,Java,Data Analytics,3,1,Yes,Mid,Software Developer
BCA,Computer Science,Data Analysis,Deep Learning,Azure,10,4,Yes,Senior,ML Engineer
B.Tech,Data Science,Deep Learning,Java,Data Analytics,11,1,Yes,Expert,ML Engineer
B.Tech,IT,Machine Learning,Deep Learning,AI Specialist,4,0,No,Mid,ML Engineer
M.Tech,Electronics,Data Analysis,Cloud,Cybersecurity,13,4,Yes,Expert,Data Analyst
MBA,Computer Science,Data Analysis,Deep Learning,Azure,9,1,No,Senior,ML Engineer
MBA,Computer Science,Deep Learning,Data Analysis,Cybersecurity,14,6,Yes,Expert,ML Engineer
BCA,AI,Python,Python,GCP,8,7,No,Senior,Data Scientist
M.Tech,Computer Science,Cloud,C++,AI Specialist,12,1,Yes,Expert,AI Engineer
MBA,IT,SQL,Deep Learning,Azure,7,6,No,Senior,ML Engineer
B.Tech,AI,Deep Learning,C++,Data Analytics,6,3,Yes,Senior,ML Engineer
BCA,Computer Science,C++,Deep Learning,Data Analytics,4,0,No,Mid,ML Engineer
MCA,Electronics,Data Analysis,C++,Azure,8,2,Yes,Senior,Data Analyst
B.Tech,Business,Machine Learning,Java,None,8,0,Yes,Senior,ML Engineer
M.Tech,IT,Data Analysis,Python,Data Analytics,9,4,Yes,Senior,Data Analyst
MBA,Electronics,Cloud,Deep Learning,None,9,7,Yes,Senior,ML Engineer
B.Tech,Electronics,C++,SQL,Azure,1,0,Yes,Junior,Data Analyst
MCA,AI,Python,C++,AWS,3,8,Yes,Mid,Data Scientist
MCA,Data Science,Python,C++,Data Analytics,7,2,Yes,Senior,Data Scientist
M.Tech,AI,Java,Data Analysis,None,12,4,Yes,Expert,Data Analyst
B.Tech,IT,Machine Learning,SQL,Azure,13,8,Yes,Expert,ML Engineer
BCA,IT,Java,Python,Azure,0,4,Yes,Fresher,Software Developer
B.Tech,AI,Cloud,C++,None,12,8,No,Expert,AI Engineer
MCA,Data Science,C++,Python,Data Analytics,14,9,No,Expert,Data Scientist
M.Tech,AI,Data Analysis,C++,AWS,4,7,Yes,Mid,Data Analyst
M.Tech,IT,SQL,Cloud,Data Analytics,7,6,Yes,Senior,Data Analyst
BCA,Data Science,Java,Machine Learning,Azure,1,0,Yes,Junior,ML Engineer
M.Tech,IT,Python,Cloud,AWS,1,3,No,Junior,Cloud Engineer
M.Tech,Data Science,Machine Learning,C++,Cybersecurity,12,8,Yes,Expert,ML Engineer
M.Tech,Data Science,Data Analysis,Machine Learning,GCP,7,9,Yes,Senior,ML Engineer
M.Tech,AI,C++,Deep Learning,Data Analytics,9,7,Yes,Senior,ML Engineer
M.Tech,AI,Deep Learning,Python,AI Specialist,11,3,No,Expert,Data Scientist
MCA,AI,Cloud,C++,Azure,8,0,Yes,Senior,Cloud Engineer
B.Tech,Data Science,Cloud,Data Analysis,AWS,6,9,Yes,Senior,Data Analyst
MBA,Data Science,Python,Java,None,7,3,Yes,Senior,Data Scientist
M.Tech,IT,Deep Learning,Data Analysis,None,4,2,Yes,Mid,ML Engineer
MBA,Electronics,Cloud,Java,None,0,5,Yes,Fresher,Security Analyst
MBA,AI,SQL,SQL,AWS,3,4,Yes,Mid,Data Analyst
MCA,Business,Data Analysis,Java,Cybersecurity,14,4,No,Expert,Data Analyst
M.Tech,IT,Machine Learning,Machine Learning,Data Analytics,1,1,Yes,Junior,ML Engineer
MBA,IT,Data Analysis,Java,AI Specialist,2,2,No,Junior,Software Developer
M.Tech,Computer Science,SQL,Java,None,11,5,Yes,Expert,Software Developer
BCA,AI,Cloud,Java,AWS,2,1,Yes,Junior,Cloud Engineer
BCA,IT,SQL,C++,None,8,3,No,Senior,Data Analyst
BCA,Computer Science,Data Analysis,SQL,Cybersecurity,12,1,Yes,Expert,Data Analyst
MBA,Business,Cloud,Python,Azure,14,8,Yes,Expert,Cloud Engineer
BCA,Business,Machine Learning,SQL,None,9,2,No,Senior,ML Engineer
MCA,AI,Machine Learning,Data Analysis,Cybersecurity,14,9,Yes,Expert,ML Engineer
MCA,Data Science,Deep Learning,Machine Learning,Data Analytics,3,9,Yes,Mid,ML Engineer
MBA,Computer Science,SQL,C++,None,1,5,No,Junior,Data Analyst
M.Tech,Data Science,C++,Deep Learning,Cybersecurity,2,0,Yes,Junior,ML Engineer
B.Tech,Business,Deep Learning,C++,AWS,2,9,Yes,Junior,ML Engineer
M.Tech,Business,Machine Learning,Cloud,AWS,13,2,No,Expert,ML Engineer
M.Tech,Electronics,Python,Java,GCP,6,7,Yes,Senior,Security Analyst
M.Tech,Electronics,Cloud,Data Analysis,Cybersecurity,7,4,Yes,Senior,Data Analyst
M.Tech,Electronics,Deep Learning,Java,Azure,12,7,No,Expert,ML Engineer
B.Tech,Electronics,Java,Machine Learning,None,10,1,Yes,Senior,ML Engineer
BCA,IT,C++,Deep Learning,AI Specialist,12,6,No,Expert,ML Engineer
M.Tech,Electronics,Cloud,Data Analysis,AI Specialist,5,8,No,Mid,Data Analyst
MCA,IT,Deep Learning,Cloud,Data Analytics,3,6,Yes,Mid,ML Engineer
MBA,IT,Machine Learning,C++,GCP,5,2,Yes,Mid,ML Engineer
MBA,AI,Data Analysis,Deep Learning,Cybersecurity,12,6,Yes,Expert,ML Engineer
MCA,IT,Machine Learning,Python,Azure,10,7,Yes,Senior,ML Engineer
M.Tech,IT,C++,SQL,GCP,0,0,No,Fresher,Data Analyst
B.Tech,Electronics,Java,C++,AWS,12,2,Yes,Expert,Security Analyst
BCA,IT,Deep Learning,Deep Learning,Data Analytics,9,4,Yes,Senior,ML Engineer
MBA,Data Science,Data Analysis,Python,None,7,5,Yes,Senior,Data Scientist
BCA,Electronics,Deep Learning,Python,None,0,2,No,Fresher,ML Engineer
B.Tech,Computer Science,SQL,Cloud,None,14,3,Yes,Expert,Data Analyst
MBA,Electronics,Python,Cloud,Cybersecurity,4,4,No,Mid,Security Analyst
BCA,IT,Machine Learning,SQL,AI Specialist,1,2,Yes,Junior,ML Engineer
B.Tech,Data Science,Deep Learning,Python,Azure,14,3,No,Expert,Data Scientist
BCA,Electronics,Deep Learning,Data Analysis,None,5,4,Yes,Mid,ML Engineer
M.Tech,Data Science,Cloud,Machine Learning,None,8,1,Yes,Senior,ML Engineer
B.Tech,Computer Science,Cloud,Python,AWS,4,9,No,Mid,Cloud Engineer
BCA,Business,Deep Learning,Deep Learning,GCP,3,8,Yes,Mid,ML Engineer
M.Tech,Computer Science,Java,Cloud,None,13,9,Yes,Expert,Software Developer
M.Tech,Business,Python,Machine Learning,Data Analytics,1,7,No,Junior,ML Engineer
B.Tech,AI,Deep Learning,Data Analysis,GCP,11,5,Yes,Expert,ML Engineer
MCA,Business,C++,Cloud,AI Specialist,2,9,Yes,Junior,Business Analyst
MBA,AI,Machine Learning,Data Analysis,GCP,5,2,Yes,Mid,ML Engineer
B.Tech,Electronics,SQL,Cloud,Azure,7,1,No,Senior,Data Analyst
M.Tech,AI,Cloud,Cloud,AWS,13,6,Yes,Expert,Cloud Engineer
M.Tech,Data Science,C++,Python,Cybersecurity,7,7,Yes,Senior,Data Scientist
B.Tech,AI,Machine Learning,Java,Azure,4,9,Yes,Mid,ML Engineer
MCA,Data Science,Data Analysis,Python,AI Specialist,4,0,Yes,Mid,Data Scientist
MBA,Business,Cloud,Cloud,Data Analytics,9,5,No,Senior,Business Analyst
BCA,Business,Java,Machine Learning,AI Specialist,13,6,Yes,Expert,ML Engineer
B.Tech,Business,Cloud,Python,AI Specialist,12,8,Yes,Expert,Business Analyst
MBA,AI,Python,Cloud,GCP,2,2,Yes,Junior,Data Scientist
MBA,Business,Python,Cloud,Data Analytics,14,1,Yes,Expert,Business Analyst
M.Tech,AI,Machine Learning,Python,Azure,6,4,No,Senior,Data Scientist
BCA,AI,C++,Python,AI Specialist,14,9,Yes,Expert,Data Scientist
B.Tech,IT,SQL,Machine Learning,Azure,12,0,Yes,Expert,ML Engineer
M.Tech,IT,Java,Data Analysis,None,5,5,Yes,Mid,Software Developer
M.Tech,AI,Machine Learning,Python,None,14,8,No,Expert,Data Scientist
MCA,Data Science,Data Analysis,SQL,None,0,9,Yes,Fresher,Data Analyst
MBA,Electronics,Java,Deep Learning,Cybersecurity,3,8,Yes,Mid,ML Engineer
B.Tech,Computer Science,Python,SQL,GCP,5,6,No,Mid,Data Analyst
B.Tech,IT,Deep Learning,Machine Learning,Azure,10,6,No,Senior,ML Engineer
B.Tech,AI,Deep Learning,Java,None,5,7,No,Mid,ML Engineer
M.Tech,Computer Science,SQL,SQL,None,10,9,Yes,Senior,Data Analyst
MCA,IT,Java,Data Analysis,Data Analytics,13,1,No,Expert,Software Developer
BCA,Electronics,Machine Learning,Cloud,AI Specialist,14,5,Yes,Expert,ML Engineer
M.Tech,Data Science,SQL,Deep Learning,None,11,4,Yes,Expert,ML Engineer
BCA,AI,Cloud,C++,Cybersecurity,11,4,Yes,Expert,Security Analyst
MCA,Electronics,Cloud,Deep Learning,Data Analytics,2,2,Yes,Junior,ML Engineer
MBA,IT,Data Analysis,SQL,GCP,5,2,No,Mid,Data Analyst
B.Tech,AI,C++,C++,Cybersecurity,11,5,Yes,Expert,Security Analyst
BCA,Computer Science,Deep Learning,Machine Learning,Cybersecurity,9,9,No,Senior,ML Engineer
M.Tech,Business,Machine Learning,Data Analysis,Cybersecurity,5,9,No,Mid,ML Engineer
